Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2019,9,27,20,46,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,54##,EARLES ST,Renfrew-Collingwood
2019,9,27,20,49,ENG - Streets,Streets Operations,Street - Surface Water Flooding,13##,E 47TH AV,Sunset
2019,9,27,21,42,DBL - Inspections,Property Use,PUI Noise General Inquiry Case,50##,JOYCE ST,Renfrew-Collingwood
2019,9,27,21,51,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,GRANVILLE ST and W 47TH AV,Oakridge
2019,9,27,21,53,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,15##,W 47TH AV,Kerrisdale
2019,9,27,21,55,ENG - Streets,Streets Operations,Streets - General Issues,6##,MOBERLY ROAD,Fairview
2019,9,27,21,57,ENG - Streets,Streets Operations,Streets - General Issues,6##,MOBERLY ROAD,Fairview
2019,9,27,22,1,ENG - Streets,Streets Operations,Pothole - Repair,18##,MACDONALD ST,Kitsilano
2019,9,27,22,8,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,4##,E 16TH AV,Mount Pleasant
2019,9,27,22,33,ENG - Streets,Streets Operations,Sidewalk - Repair,4##,MCLEAN DRIVE,Grandview-Woodland
2019,9,28,0,8,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,23##,W 49TH AV,Kerrisdale
2019,9,28,2,22,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,7##,COMMERCIAL DRIVE,Grandview-Woodland
2019,9,28,7,23,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,27##,FRANKLIN ST,Hastings-Sunrise
2019,9,28,7,29,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,4##,GREAT NORTHERN WAY,Mount Pleasant
2019,9,28,7,32,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,4##,MAIN ST,Downtown
2019,9,28,7,39,ENG - Water & Sewer,Waterworks Operations,Water Work Site Complaint,Intersection,E BROADWAY and MAIN ST,Mount Pleasant
2019,9,28,7,41,ENG - Water & Sewer,Waterworks Operations,Water Work Site Complaint,Intersection,E BROADWAY and MAIN ST,Mount Pleasant
2019,9,28,7,53,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,##,EXPO BOULEVARD,Downtown
2019,9,28,7,55,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,400, - 499 GREAT NORTHERN WAY,Strathcona
2019,9,28,8,1,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,SEYMOUR ST,Downtown
2019,9,28,8,7,ENG - Streets,Streets Operations,Street - Repair,32##,ST. GEORGE ST,Riley Park
2019,9,28,8,8,DBL - Inspections,Property Use,PUI Noise Complaint Case,8##,HAMILTON ST,Downtown
2019,9,28,8,11,ENG - Streets,Streets Operations,Street - Repair,4##,E 17TH AV,Riley Park
2019,9,28,8,16,ENG - Streets,Streets Operations,Pothole - Repair,34##,WELWYN ST,Kensington-Cedar Cottage
2019,9,28,8,21,ENG - Streets,Streets Operations,Street - Repair,4##,E 17TH AV,Riley Park
2019,9,28,8,33,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,59##,INVERNESS ST,Sunset
2019,9,28,8,54,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,40##,INVERNESS ST,Kensington-Cedar Cottage
2019,9,28,9,6,ENG - Streets,Streets Operations,Street - Repair,10##,CARDERO ST,West End
2019,9,28,9,16,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,35##,CORDIALE DRIVE,Killarney
2019,9,28,9,20,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,CORDIALE DRIVE and MATHESON CRESCENT,Killarney
2019,9,28,9,24,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,##,E 21ST AV,Riley Park
2019,9,28,9,51,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,Intersection,E 19TH AV and MAIN ST,Riley Park
2019,9,28,10,2,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,17##,FRANKLIN ST,Grandview-Woodland
2019,9,28,10,8,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,9##,MAIN ST,Downtown
2019,9,28,10,12,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,30##,E 28TH AV,Renfrew-Collingwood
2019,9,28,10,12,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,7##,E 58TH AV,Sunset
2019,9,28,10,18,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,18##,DISCOVERY ST,West Point Grey
2019,9,28,10,20,ENG - Streets,Streets Operations,Street - Repair,31##,ST. GEORGE ST,Mount Pleasant
2019,9,28,10,22,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,85##,CAMBIE ST,Marpole
2019,9,28,10,24,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,19##,W GEORGIA ST,Downtown
2019,9,28,10,41,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,29##,W 7TH AV,Kitsilano
2019,9,28,10,42,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,25##,E PENDER ST,Hastings-Sunrise
2019,9,28,10,42,DBL - Inspections,Property Use,PUI Noise Complaint Case,17##,ALBERNI ST,West End
2019,9,28,10,43,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,78##,HEATHER ST,Marpole
2019,9,28,10,47,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,21##,E 30TH AV,Kensington-Cedar Cottage
2019,9,28,10,47,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,3600, - 3699 W 3RD AV,Kitsilano
2019,9,28,10,56,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,THURLOW ST and W GEORGIA ST,Downtown
2019,9,28,11,8,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,24##,E GEORGIA ST,Hastings-Sunrise
2019,9,28,11,9,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,11##,MELVILLE ST,Downtown
2019,9,28,11,10,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,18##,E 12TH AV,Kensington-Cedar Cottage
2019,9,28,11,11,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,23##,CORNWALL AV,Kitsilano
2019,9,28,11,11,ENG - Streets,Streets Operations,Street - Surface Water Flooding,30##,W 7TH AV,Kitsilano
2019,9,28,11,21,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,22##,E 50TH AV,Victoria-Fraserview
2019,9,28,11,23,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,65##,VICTORIA DRIVE,Victoria-Fraserview
2019,9,28,11,25,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,15##,BALSAM ST,Kitsilano
2019,9,28,11,25,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,59##,VICTORIA DRIVE,Victoria-Fraserview
2019,9,28,11,43,ENG - Streets,Streets Operations,Pothole - Repair,41##,W 10TH AV,West Point Grey
2019,9,28,11,44,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,4##,COLUMBIA ST,Downtown
2019,9,28,11,45,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,14##,GRAVELEY ST,Grandview-Woodland
2019,9,28,11,50,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,14##,GRAVELEY ST,Grandview-Woodland
2019,9,28,11,58,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,12##,SEYMOUR ST,Downtown
2019,9,28,12,11,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,6##,E CORDOVA ST,Strathcona
2019,9,28,12,11,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,23##,W 20TH AV,Arbutus-Ridge
2019,9,28,12,17,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,15##,E 8TH AV,Grandview-Woodland
2019,9,28,12,32,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,E 20TH AV and MAIN ST,Riley Park
2019,9,28,12,55,ENG - Streets,Streets Operations,Street - Repair,10##,W GEORGIA ST,Downtown
2019,9,28,12,55,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,600, - 699 THURLOW ST,Downtown
2019,9,28,13,4,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,6##,E CORDOVA ST,Strathcona
2019,9,28,13,9,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,23##,MCGILL ST,Grandview-Woodland
2019,9,28,13,12,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,KITCHENER ST and LAKEWOOD DRIVE,Grandview-Woodland
2019,9,28,13,24,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,31##,E 15TH AV,Renfrew-Collingwood
2019,9,28,13,35,ENG - Streets,Streets Operations,Sidewalk - Repair,5##,ATLANTIC ST,Strathcona
2019,9,28,13,44,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,32##,W 2ND AV,Kitsilano
2019,9,28,13,56,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,2700, - 2799 W 34TH AV,Arbutus-Ridge
2019,9,28,14,9,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,6##,W 54TH AV,Oakridge
2019,9,28,14,13,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,69##,CAMBIE ST,Oakridge
2019,9,28,14,22,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,36##,MAIN ST,Riley Park
2019,9,28,14,29,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,36##,SW MARINE DRIVE,Dunbar-Southlands
2019,9,28,14,40,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,1##,E 20TH AV,Riley Park
2019,9,28,14,41,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,10##,W GEORGIA ST,Downtown
2019,9,28,14,47,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,BUTE ST and DAVIE ST,West End
2019,9,28,14,56,ENG - Streets,Streets Operations,Street - Surface Water Flooding,35##,MAIN ST,Riley Park
2019,9,28,15,39,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,21##,CAMBRIDGE ST,Grandview-Woodland
2019,9,28,15,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,21##,PANDORA ST,Grandview-Woodland
2019,9,28,15,50,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,23##,CAMBRIDGE ST,Grandview-Woodland
2019,9,28,16,0,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,Intersection,PANDORA ST and SEMLIN DRIVE,Grandview-Woodland
2019,9,28,16,1,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,58##,PRINCE ALBERT ST,Sunset
2019,9,28,16,4,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,RENFREW ST,Hastings-Sunrise
2019,9,28,16,7,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,SEMLIN DRIVE,Grandview-Woodland
2019,9,28,16,13,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,1##,LAKEWOOD DRIVE,Grandview-Woodland
2019,9,28,16,18,DBL - Inspections,Property Use,PUI Noise Complaint Case,5##,CARDERO ST,Downtown
2019,9,28,16,23,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,1##,LAKEWOOD DRIVE,Grandview-Woodland
2019,9,28,16,47,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Pole Repair,13##,E 33RD AV,Kensington-Cedar Cottage
2019,9,28,16,48,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,CARDERO ST and COMOX ST,West End
2019,9,28,16,54,ENG - Streets,Streets Operations,Street - Repair,41##,W 10TH AV,West Point Grey
2019,9,28,17,9,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Pole Repair,Intersection,E 33RD AV and KNIGHT ST,Kensington-Cedar Cottage
2019,9,28,17,20,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,55##,SLOCAN ST,Renfrew-Collingwood
2019,9,28,17,28,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,29##,TRINITY ST,Hastings-Sunrise
2019,9,28,17,32,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,32##,PENTICTON ST,Renfrew-Collingwood
2019,9,28,17,56,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,5##,RICHARDS ST,Downtown
2019,9,28,18,27,DBL - Inspections,Property Use,PUI Noise Complaint Case,12##,PACIFIC ST,West End
2019,9,28,18,40,DBL - Inspections,Property Use,PUI Noise Complaint Case,20##,E PENDER ST,Grandview-Woodland
2019,9,28,19,33,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,4##,COLUMBIA ST,Downtown
2019,9,28,19,35,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,10##,CANADA PLACE,Downtown
2019,9,28,19,36,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,53##,INVERNESS ST,Kensington-Cedar Cottage
2019,9,28,19,45,ENG - Streets,Streets Operations,Pothole - Repair,53##,INVERNESS ST,Kensington-Cedar Cottage
2019,9,28,20,8,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,WATER ST,Downtown
2019,9,28,20,38,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,2600, - 2699 PANDORA ST,Hastings-Sunrise
2019,9,28,21,10,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,41##,NANAIMO ST,Renfrew-Collingwood
2019,9,28,21,35,ENG - Streets,Streets Operations,Sidewalk - Repair,7##,HAMILTON ST,Downtown
2019,9,28,21,37,DBL - Inspections,Property Use,PUI Noise Complaint Case,20##,E PENDER ST,Grandview-Woodland
2019,9,28,21,47,DBL - Inspections,Property Use,PUI Noise Complaint Case,32##,WILLOW ST,South Cambie
2019,9,28,21,50,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Flat Glass Fixture Request,5##,STARBOARD SQUARE,Fairview
2019,9,28,21,52,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,63##,ANGUS DRIVE,Kerrisdale
2019,9,28,22,4,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,73##,FRASER ST,Sunset
2019,9,28,22,12,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,8##,E 38TH AV,Kensington-Cedar Cottage
2019,9,28,22,31,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,55##,RHODES ST,Renfrew-Collingwood
2019,9,28,23,10,DBL - Inspections,Property Use,PUI Noise Complaint Case,32##,E GEORGIA ST,Hastings-Sunrise
2019,9,28,23,26,DBL - Inspections,Property Use,PUI Noise Complaint Case,18##,W BROADWAY,Kitsilano
2019,9,28,23,37,DBL - Inspections,Property Use,PUI Noise Complaint Case,13##,BURNABY ST,West End
2019,9,28,23,44,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,3##,E CORDOVA ST,Strathcona
2019,9,28,23,47,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,4##,E 16TH AV,Mount Pleasant
2019,9,28,23,47,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,28##,W 34TH AV,Arbutus-Ridge
2019,9,28,23,59,DBL - Inspections,Property Use,PUI Noise Complaint Case,32##,MATAPAN CRESCENT,Renfrew-Collingwood
2019,9,29,0,5,DBL - Inspections,Property Use,PUI Noise Complaint Case,7##,KINGSWAY,Kensington-Cedar Cottage
2019,9,29,0,43,DBL - Inspections,Property Use,PUI Noise Complaint Case,34##,CROWLEY DRIVE,Renfrew-Collingwood
2019,9,29,0,57,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,##,W 7TH AV,Mount Pleasant
2019,9,29,1,5,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,64##,MACKENZIE PLACE,Kerrisdale
2019,9,29,3,19,DBL - Inspections,Property Use,PUI Noise Complaint Case,32##,MATAPAN CRESCENT,Renfrew-Collingwood
2019,9,29,6,9,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,32##,FRASER ST,Riley Park
2019,9,29,7,7,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,OAK ST and W 6TH AV,Fairview
2019,9,29,7,12,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,BLENHEIM ST and W 39TH AV,Dunbar-Southlands
2019,9,29,7,42,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,BLENHEIM ST and W 16TH AV,Arbutus-Ridge
2019,9,29,7,44,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,CHESTER ST and E 41ST AV,Kensington-Cedar Cottage
2019,9,29,7,44,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,CHESTER ST and E 41ST AV,Sunset
2019,9,29,7,51,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,33##,W 15TH AV,Kitsilano
2019,9,29,8,3,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,1500, - 1599 COMMERCIAL DRIVE,Grandview-Woodland
2019,9,29,8,6,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,1400, - 1499 LAMEY'S MILL ROAD,Fairview
2019,9,29,8,13,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,27##,ROSEMONT DRIVE,Killarney
2019,9,29,8,20,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,14##,LAMEY'S MILL ROAD,Fairview
2019,9,29,8,21,DBL - Inspections,Property Use,PUI Noise Complaint Case,22##,COMMERCIAL DRIVE,Grandview-Woodland
2019,9,29,8,39,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,34##,W 16TH AV,Kitsilano
2019,9,29,8,44,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,35##,E 43RD AV,Killarney
2019,9,29,8,47,DBL - Inspections,Property Use,PUI Noise Complaint Case,5##,CARDERO ST,Downtown
2019,9,29,8,58,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Pole Repair,33##,KINGSWAY,Renfrew-Collingwood
2019,9,29,9,8,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,33##,W 16TH AV,Kitsilano
2019,9,29,9,8,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,3500, - 3599 E 43RD AV,Killarney
2019,9,29,9,12,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,OAK ST and W 49TH AV,Oakridge
2019,9,29,9,13,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,##,DIEPPE PLACE,Renfrew-Collingwood
2019,9,29,9,19,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,81##,SOPHIA ST,Sunset
2019,9,29,9,31,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15##,BARCLAY ST,West End
2019,9,29,9,32,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,33##,VICTORIA DRIVE,Kensington-Cedar Cottage
2019,9,29,10,4,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,56##,CHESTER ST,Kensington-Cedar Cottage
2019,9,29,10,11,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,1000, - 1099 NICOLA ST,West End
2019,9,29,10,13,ENG - Streets,Streets Operations,Street - Repair,##,W 19TH AV,Riley Park
2019,9,29,10,14,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,7##,E 58TH AV,Sunset
2019,9,29,10,18,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,33##,W 2ND AV,Kitsilano
2019,9,29,10,49,DBL - Administration,Administration Branch,General Information Request SR,67##,FRASER ST,Sunset
2019,9,29,11,8,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,57##,JOYCE ST,Killarney
2019,9,29,11,10,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,63##,QUEBEC ST,Sunset
2019,9,29,11,35,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,Intersection,CARNARVON ST and W 27TH AV,Dunbar-Southlands
2019,9,29,11,36,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,10##,RENFREW ST,Hastings-Sunrise
2019,9,29,11,44,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,39##,POINT GREY ROAD,West Point Grey
2019,9,29,11,52,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,33##,W 16TH AV,Kitsilano
2019,9,29,12,0,ENG - Streets,Streets Operations,Sidewalk - Repair,14##,LAMEY'S MILL ROAD,Fairview
2019,9,29,12,24,ENG - Streets,Streets Operations,Pothole - Repair,32##,E 26TH AV,Renfrew-Collingwood
2019,9,29,12,24,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,22##,E 25TH AV,Kensington-Cedar Cottage
2019,9,29,12,46,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,GRANT ST and VICTORIA DRIVE,Grandview-Woodland
2019,9,29,12,48,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,CHARLES ST and MCLEAN DRIVE,Grandview-Woodland
2019,9,29,12,49,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,ADANAC ST and TEMPLETON DRIVE,Grandview-Woodland
2019,9,29,12,51,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,CHARLES ST and VICTORIA DRIVE,Grandview-Woodland
2019,9,29,12,59,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,32##,W 16TH AV,Arbutus-Ridge
2019,9,29,13,34,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,77##,GRANVILLE ST,Marpole
2019,9,29,13,44,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,32##,W 16TH AV,Arbutus-Ridge
2019,9,29,13,48,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,8##,PRINCESS AV,Strathcona
2019,9,29,13,55,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10##,ODLUM DRIVE,Grandview-Woodland
2019,9,29,13,59,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,E 64TH AV and SOPHIA ST,Sunset
2019,9,29,14,27,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,52##,RUPERT ST,Renfrew-Collingwood
2019,9,29,14,28,ENG - Streets,Streets Operations,Pothole - Repair,61##,FRASER ST,Sunset
2019,9,29,14,29,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,52##,RUPERT ST,Renfrew-Collingwood
2019,9,29,14,38,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,48##,ELDORADO MEWS,Renfrew-Collingwood
2019,9,29,15,18,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14##,W 53RD AV,Oakridge
2019,9,29,15,24,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,3##,VICTORIA DRIVE,Grandview-Woodland
2019,9,29,15,31,ENG - Streets,Streets Operations,Streets - General Issues,27##,E 21ST AV,Renfrew-Collingwood
2019,9,29,15,43,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,W HASTINGS ST,Downtown
2019,9,29,16,28,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,43##,ST. GEORGE ST,Riley Park
2019,9,29,16,42,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,E 47TH AV,Sunset
2019,9,29,16,52,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,28##,TRINITY ST,Hastings-Sunrise
2019,9,29,17,3,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,48##,ELDORADO MEWS,Renfrew-Collingwood
2019,9,29,17,3,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,5##,BURRARD ST,Downtown
2019,9,29,17,16,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,HUDSON ST and W 70TH AV,Marpole
2019,9,29,17,16,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,80##,ANGUS DRIVE,Kerrisdale
2019,9,29,17,28,DBL - Inspections,Property Use,PUI Noise Complaint Case,16##,W 2ND AV,Fairview
2019,9,29,17,28,ENG - Streets,Streets Operations,Pothole - Repair,23##,E 7TH AV,Grandview-Woodland
2019,9,29,17,36,DBL - Inspections,Property Use,PUI Noise Complaint Case,17##,DAVIE ST,West End
2019,9,29,17,49,DBL - Inspections,Property Use,PUI Noise Complaint Case,34##,E PENDER ST,Hastings-Sunrise
2019,9,29,18,4,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,55##,SLOCAN ST,Renfrew-Collingwood
2019,9,29,18,9,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,E 1ST AV,Strathcona
2019,9,29,18,10,DBL - Inspections,Property Use,PUI Noise Complaint Case,43##,W 13TH AV,West Point Grey
2019,9,29,18,13,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,E 1ST AV,Strathcona
2019,9,29,18,15,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,GRANT ST and SEMLIN DRIVE,Grandview-Woodland
2019,9,29,18,17,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,44##,KASLO ST,Renfrew-Collingwood
2019,9,29,18,18,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,GRANT ST and SEMLIN DRIVE,Grandview-Woodland
2019,9,29,18,20,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,GRANT ST and SEMLIN DRIVE,Grandview-Woodland
2019,9,29,18,24,ENG - Streets,Streets Operations,Street - Repair,73##,FRASER ST,Sunset
2019,9,29,18,28,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,2100, - 2199 CHARLES ST,Grandview-Woodland
2019,9,29,18,35,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,13##,COTTON DRIVE,Grandview-Woodland
2019,9,29,18,43,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,Intersection,GRANT ST and SEMLIN DRIVE,Grandview-Woodland
2019,9,29,18,47,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,1##,WATER ST,Downtown
2019,9,29,19,38,ENG - Streets,Streets Operations,Streets - General Issues,56##,MAPLE ST,Shaughnessy
2019,9,29,20,1,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,87##,GRANVILLE ST,Marpole
2019,9,29,20,15,ENG - Streets,Streets Operations,Sidewalk - Repair,33##,CAMBIE ST,South Cambie
